English,LAT,LON,Chinese,Category,Company,Description
Po Shan Road,22.2803703,114.1417016,寶珊道,Compradores,"Chartered Mercantile Bank of India, London and China","Sir Boshan Wei Yuk was a prominent Hong Kong businessman. He served as the head compradore of Chartered Mercantile Bank of India, London and China, and a member of the Legislative Council. He played a key role in public services, including chairing Tung Wah Hospital and co-founding the Po Leung Kuk."
Chico Terrace,22.2803226,114.1516885,芝古臺,Compradores,Banco Ultramarino of Macao,"Francisco Yat-Tse, born in Hong Kong in 1854, was the first Comparadore of Banco Ultramarino of Macao. Known as ""Chico"" by the local Portuguese community, he is believed to be the namesake of Chico Terrace."
Fat Hing Street,22.2864329,114.148058,發興街,Compradores,Peninsular and Oriental Steam Navigation Company,"Kwok A-cheong, a prominent Hong Kong businessman, served as the comprador for the P&O Steamship Company and established the successful merchant house, Fat Hing Hong, in Sheung Wan."
Ho Tung Road,22.3302393,114.1798734,何東道,Compradores,Jardine Matheson & Co.,"Sir Robert Hotung was a Hong Kong businessman and philanthropist. He was Head Compradore at Jardines and was a director of Hong Kong Land and a board member of Tung Wah Hospital. By the age of 35, he was believed to be the richest man in Hong Kong."
Shouson Hill Road,22.2470721,114.1783377,壽山村道,Finance,Bank of East Asia,"Sir Shouson Chow was a prominent Hong Kong businessman. He co-founded the Bank of East Asia and held various important positions in the government, including the Sanitary Board, the precursor of the Urban Council, and Legislative Council. He was the first Chinese member of the Executive Council."
Shouson Hill Road East,22.2483905,114.1829097,壽臣山道東,Finance,Bank of East Asia,"Sir Shouson Chow was a prominent Hong Kong businessman. He co-founded the Bank of East Asia and held various important positions in the government, including the Sanitary Board, the precursor of the Urban Council, and Legislative Council. He was the first Chinese member of the Executive Council."
Shouson Hill Road West,22.2512093,114.180698,壽臣山道西,Finance,Bank of East Asia,"Sir Shouson Chow was a prominent Hong Kong businessman. He co-founded the Bank of East Asia and held various important positions in the government, including the Sanitary Board, the precursor of the Urban Council, and Legislative Council. He was the first Chinese member of the Executive Council."
Rutter Street,22.2842839,114.1467587,律打街,Finance,Commercial Bank of India | Hughesdon Calder & Co.,"Henry Rutter was a British exchange broker snd financial writer. He was an agent at Commercial Bank of India and a partner at Hughesdon Calder & Co.. He made many publications on financial topics, including ‘Exchange Tables and Arbitrations of Exchanges between England, India, and China’."
Mody Lane,22.2982202,114.1780338,麼地里,Finance,Chater & Mody,"Sir Hormusjee Naorojee Mody, an influential Indian Parsi businessman, co-founded the University of Hong Kong and played a pivotal role in developing Kowloon through his successful real estate brokerage, Chater and Mody, with Sir Catchick Paul Chater. His philanthropy extended to founding institutions like the Hong Kong Jockey Club and Kowloon Cricket Club."
Mody Road,22.2972814,114.1754917,麼地道,Finance,Chater & Mody,"Sir Hormusjee Naorojee Mody, an influential Indian Parsi businessman, co-founded the University of Hong Kong and played a pivotal role in developing Kowloon through his successful real estate brokerage, Chater and Mody, with Sir Catchick Paul Chater. His philanthropy extended to founding institutions like the Hong Kong Jockey Club and Kowloon Cricket Club."
Mody Square,22.2984897,114.1770241,麼地廣場,Finance,Chater & Mody,"Sir Hormusjee Naorojee Mody, an influential Indian Parsi businessman, co-founded the University of Hong Kong and played a pivotal role in developing Kowloon through his successful real estate brokerage, Chater and Mody, with Sir Catchick Paul Chater. His philanthropy extended to founding institutions like the Hong Kong Jockey Club and Kowloon Cricket Club."
Jackson Road,22.2803218,114.1604668,昃臣道,Finance,HSBC,Sir Thomas Jackson was the third Chief Manager of HSBC. He had served ten years in the bank and was only 35 years old at the time.
Sutherland Street,22.287469,114.1458016,修打蘭街,Finance,HSBC,"Sir Thomas Sutherland, a Scottish banker and politician, founded HSBC and directed the P&O Company. He was the first chairman of the Hong Kong and Whampoa Dock, and was appointed member of the Legislative Council of Hong Kong from 1865 to 1866."
Ede Road,22.3421616,114.1786062,義德道,Finance,Union Insurance Society,"Charles Montague Ede was a British businessman and unofficial member of the Executive Council and Legislative Council of Hong Kong. He was the general manager of Union Insurance Society of Canton, and was responsible for developing Kowloon Tong."
Babington Path,22.2841996,114.1425796,巴丙頓道,Finance,"National Bank of China | Shewan, Tomes & Co.","Anthony Babington was a British merchant and businessman. He was a manager of National Bank of China's branch in Yokohama. He later became the director of Shewan, Tomes & Co. in Hong Kong, a company which contributed the to the foundation of the China Light and Power Company."
Bank Street,22.2802149,114.1599187,銀行街,Finance,,Named after HSBC and Bank of China nearby.
Finance Street,22.286018,114.1562447,金融街,Finance,,Named after International Finance Centre nearby.
Leighton Lane,22.2773625,114.1838628,禮頓里,Merchant,F. Leighton & Co.,"The area was named after a merchant named Leighton (Leighton & Co.), who had constructed a godown nearby. In 1853, a police station was built on the same site."
Leighton Road,22.2776725,114.183344,禮頓道,Merchant,F. Leighton & Co.,"The area was named after a merchant named Leighton (Leighton & Co.), who had constructed a godown nearby. In 1853, a police station was built on the same site."
Fenwick Pier Street,22.2804167,114.1682139,分域碼頭街,Merchant,Fenwick & Co.,"George Fenwick was a British enginner and was the owner of shipyard located at Queen’s Road East and Ship Street in Wanchai. By 1884, Fenwick established Fenwick & Co, where he served as the Engineer and eventually became the Manager."
McGregor Street,22.2747407,114.1731856,麥加力歌街,Merchant,McGregor & Co.,"In 1863, McGregor & Co. constructed a strong timber pier at Spring Garden in Wanchai. It extended 250 feet into the harbor and had a depth of 26 feet at low water. Unlike previous piers made of bamboo, this pier was built with durable timber."
Burrows Street,22.2762477,114.1766734,巴路士街,Merchant,Burrows & Sons,"Silas Enoch Burrows was an American merchant. He founded a shipping business in New York, San Francisco, and Hong Kong, and was known for his charitable acts, particularly in aiding shipwrecked mariners, including those from Sir John Franklin’s Arctic expedition."
Mallory Street,22.2771181,114.1769247,茂蘿街,Merchant,,"Lawrence Mallory, an American timber merchant, lived in Hong Kong for 42 years. He was a former lieutenant in the US Navy. The area was used for timber and boat building, and later for warehouses, timber/coal storage, and other small industries."
Heard Street,22.277471,114.1772431,克街,Merchant,Augustine & Co.,"Augustine Heard was an American merchant who co-founded Augustine and Co., a tea and opium trading company in Canton. The company became the third-largest American firm in China in the mid-19th century, and also introduced steamships to China."
Gilman Street,22.2862651,114.1553248,機利文街,Merchant,Gilman & Bowman,"Richard James Gilman, a tea-taster at Dent's in Canton, co-founded Gilman & Bowman in 1840. Actively engaged in the import-export trade and shipping, the firm achieved renown after the tea race of 1866 and played a role in establishing the HSBC in 1864."
Gilman's Bazaar,22.2849277,114.1542323,機利文新街,Merchant,Gilman & Bowman,"Richard James Gilman, a tea-taster at Dent's in Canton, co-founded Gilman & Bowman in 1840. Actively engaged in the import-export trade and shipping, the firm achieved renown after the tea race of 1866 and played a role in establishing the HSBC in 1864."
Calder Path,22.2753149,114.158573,歌老打路,Merchant,Hughesdon Calder & Co ,"Alexander Calder was an American merchant who started in Macau in 1843, where his firm traded opium and China sycee silver. He was a partner at Hughesdon, Calder & Co., and served as a director of the Marine Investment Company and Danish consul in Shanghai around 1851."
Keswick Street,22.2784779,114.186671,敬誠街,Merchant,Jardine Matheson & Co.,"James Johnstone Keswick, a Scottish businessman, served as the taipan of Jardine Matheson & Co. He co-founded Hongkong Land with Sir Paul Chater. Keswick held key roles in Hong Kong's Legislative Council, Executive Council, and various organizations."
Anton Street,22.2772383,114.1689137,晏頓街,Merchant,Jardine Matheson & Co.,"Charles Edward Anton was a Scottish businessman. He was the 16th tai-pan of the Jardine, Matheson & Co. and a member of the Hong Kong General Chamber of Commerce and the Legislative Council of Hong Kong."
Bulkeley Street,22.3067242,114.1859462,寶其利街,Merchant,Jardine Matheson & Co.,"Francis Bulkeley Johnson was a British businessman. He was a partner of the Jardine, Matheson & Co. and member of the Legislative Council of Hong Kong. He proposed the Tramways Ordinance in 1881, leading to the construction and operation of the Hongkong Tramways in 1904."
Gresson Street,22.2770425,114.1702442,機利臣街,Merchant,Jardine Matheson & Co.,"William Jardine Gresson was a British merchant and politician in Hong Kong and China. He was a managing partner in the Jardine Matheson & Co.. He also served as a Shanghai Municipal Councillor, unofficial member of the Legislative Council of Hong Kong and Executive Council of Hong Kong."
Jardine's Bazaar,22.2795688,114.1852333,渣甸街,Merchant,Jardine Matheson & Co.,"William Jardine, a Scottish physician turned opium merchant, co-founded the Hong Kong conglomerate Jardine, Matheson & Co. He played a key role in expanding trade with China, supporting the opium trade, and contributing to the First Opium War, resulting in the Treaty of Nanking in 1843."
Jardine's Crescent,22.2792627,114.1848805,渣甸坊,Merchant,Jardine Matheson & Co.,"William Jardine, a Scottish physician turned opium merchant, co-founded the Hong Kong conglomerate Jardine, Matheson & Co. He played a key role in expanding trade with China, supporting the opium trade, and contributing to the First Opium War, resulting in the Treaty of Nanking in 1843."
Jardine's Lookout,22.26744079,114.2,渣甸山,Merchant,Jardine Matheson & Co.,"William Jardine, a Scottish physician turned opium merchant, co-founded the Hong Kong conglomerate Jardine, Matheson & Co. He played a key role in expanding trade with China, supporting the opium trade, and contributing to the First Opium War, resulting in the Treaty of Nanking in 1843."
Landale Street,22.2774637,114.1695377,蘭杜街,Merchant,Jardine Matheson & Co.,David Landale was a British businessman. He was the 13th Tai-pan of the Jardine Matheson & Co. and member of the Executive Council and Legislative Council of Hong Kong. He was also a director of HSBC.
Matheson Street,22.2772805,114.1824918,勿地臣街,Merchant,Jardine Matheson & Co.,"Sir James Matheson, a Scottish businessman, co-founded Jardine Matheson & Co. after after meeting William Jardine in Bombay in 1820. He played a key role in expanding trade with China, supporting the opium trade, and contributing to the First Opium War, resulting in the Treaty of Nanking in 1843."
Paterson Street,22.2819639,114.1850067,百德新街,Merchant,Jardine Matheson & Co.,John Johnstone Paterson served as the managing director of the firm in the 1930s and also chaired HSBC three times between 1932 and 1941. Paterson served on various committees and led the Hong Kong Volunteer Defence Corps' Special Guard Company during the Battle of Hong Kong in World War II. 
Percival Street,22.2798106,114.1827264,波斯富街,Merchant,Jardine Matheson & Co.,Alexander Perceval was an Irish businessman. He was a Taipan of Jardine's and an unofficial member of the Legislative Council of the colony of Hong Kong from 1860 to 1864. He was also the first chairman of the Hong Kong General Chamber of Commerce.
Yee Wo Street,22.2799265,114.1855432,怡和街,Merchant,Jardine Matheson & Co.,"William Jardine, a Scottish physician turned opium merchant, co-founded the Hong Kong conglomerate Jardine, Matheson & Co. He played a key role in expanding trade with China, supporting the opium trade, and contributing to the First Opium War, resulting in the Treaty of Nanking in 1843."
Ezra's Lane,22.282157,114.154138,伊沙里,Merchant,,"Edward Isaac Ezra was a prominent Jewish businessman born in Shanghai and the first native-born member of the Shanghai Municipal Council. Amassing wealth through opium trade, real estate, and investments, he served as the managing director of Shanghai Hotels Ltd. and chairman of the Far Eastern Insurance Company."
Hysan Avenue,22.2780462,114.1845059,希慎道,Merchant,,"Lee Hysan was a Hong Kong businessman who was involved in the opium trade and refinery, as well as land development during the early 1900s. He bought the Jardine's Hill property, west of Causeway Bay, from Jardines for HK$3.8 million, which was later developed into Lee Garden. He was assassinated in 1928 on a street in the Central district."
Forbes Street,22.2813409,114.1273646,科士街,Merchant,Russell & Co.,William Forbes was an American businessman. He was the head partner of the Russell & Co. and was the 11th chairman of the board of Directors of HSBC from 1879 to 1880. He was the uncle of United States President Franklin Delano Roosevelt.
Burd Street,22.2852241,114.1514296,畢街,Merchant,Burd & Co.,"John Burd, a Scottish sea captain, co-founded John Burd and Co., a merchant and mariner company around 1839. They initially established the company in Canton and later moved it to Hong Kong in 1842. He was appointed as the inaugural Danish consul in Hong Kong in 1845."
Ship Street,22.2754963,114.1703809,船街,Others,,The area was once home to piers and dockyards.
Sam Pan Street,22.2752619,114.1729412,三板街,Others,,The area was once home to piers and dockyards.
Schooner Street,22.2753608,114.1698986,捷船街,Others,,The area was once home to piers and dockyards.
Shelter Street,22.2794332,114.1883542,信德街,Others,,Named after the neighbouring typhoon shelter of Causeway Bay.
Yacht Street,22.2836317,114.1917785,帆船街,Others,,Named after the neighbouring typhoon shelter of Causeway Bay.
Haven Street,22.2781231,114.1864921,希雲街,Others,,Named after the neighbouring typhoon shelter of Causeway Bay.
Boat Street,22.2885343,114.1936165,艇街,Others,Hong Kong Yacht Club,"Named after the former site of the Hong Kong Yacht Club. The club, originally known as the Victoria Regatta, hosted its first race in 1849 and later changed its name to the Royal Hong Kong Yacht Club. The clubhouse was relocated to Kellett Island in 1938."
Dutch Lane,22.2682622,114.1706261,荷蘭徑,Others,Royal Interocean Lines,"Dutch Lane is a path above Bowen Road and below Peak Road in Hong Kong. It was used by Dutch people to travel from their homes to their office at Royal Interocean Lines, a Dutch shipping line."
Java Road,22.2913787,114.2093252,渣華道,Others,Royal Interocean Lines,"Named after Java, an Indonesian island. The street was named in reference to the headquarters of Royal Interocean Lines, a Dutch shipping company located nearby, due to their association with the Indonesian island of Java during the Dutch colonial era."
Tit Hong Lane,22.2846414,114.1551556,鐵行里,Others,Peninsular and Oriental Steam Navigation Company,Named after the Chinese name of Peninsular and Oriental Steam Navigation Company.
World Wide Lane,22.2825716,114.1574479,環球里,Others,World Wide Shipping,"Named after Pao Yue-Kong's World Wide Shipping, the company rapidly ascended to become the world's largest shipping company within 20 years of acquiring its initial used ship in 1955, boasting an impressive fleet with over 20 million tonnes of deadweight (DWT)."
Container Port Road South,22.3530387,114.125748,貨櫃碼頭南路,Others,,Named after the nearby Kwai Chung Container Terminals.
Container Port Road,22.3546786,114.1256171,貨櫃碼頭路,Others,,Named after the nearby Kwai Chung Container Terminals.
Anchor Street,22.3202598,114.1659655,晏架街,Shipyard / Dockyard,,The area around Anchor Street used to be a harbour where ships would anchor. It was also close to Cosmopolitan Dockyard.
Sands Street,22.2833222,114.1300491,山市街,Shipyard / Dockyard,Sand's Slip,"Capt George Underhill Sands was an American engineer and shipbuilder. He was the captain of a steamship in China and later bought a Shipyard in Sai Wan in Hong Kong. He served as the superintendent for HongKong, Canton & Macao Steam-Boat Co.."
Bailey Street,22.3123471,114.1877794,庇利街,Shipyard / Dockyard,Bailey Shipyard,"The shipyard was named after its founder, Irish businessman William Seybour Bailey, who established it in 1897. Operating until 1949, the shipyard was eventually dismantled. "
Fenwick Street,22.2775712,114.1703365,分域街,Shipyard / Dockyard,Fenwick & Co.,"George Fenwick was a British enginner and was the owner of shipyard located at Queen’s Road East and Ship Street in Wanchai. By 1884, Fenwick established Fenwick & Co, where he served as the Engineer and eventually became the Manager."
Whampoa Street,22.3064271,114.1848408,黃埔街,Shipyard / Dockyard,Hong Kong and Whampoa Dock,Named after the nearby Whampoa Dockyard.
Cooke Street,22.3076955,114.1835127,曲街,Shipyard / Dockyard,Hong Kong and Whampoa Dock,Robert Cooke was a British engineer. He worked at Sand's Slip and Cosmopolitan Dockyard before becoming known for managing Whampoa's Kowloon Dockyard from 1880.
Dyer Avenue,22.3068886,114.189507,戴亞街,Shipyard / Dockyard,Hong Kong and Whampoa Dock,"Robert Morton Dyer was a British businessman. Born in Japan, he was educated in Scotland and worked as a Naval Architect in Glasgow. He moved to Hong Kong and he became the Chief Manager of the Whampoa Dock Company."
Gillies Avenue North,22.3110993,114.1867853,機利士北路,Shipyard / Dockyard,Hong Kong and Whampoa Dock,David Gilles was a Scottish businessman. He was the chief manager of the Hongkong and Whampoa Dock Co.. He served as the President of the Institute of Engineers and Shipbuilders of Hong Kong.
Gillies Avenue South,22.306166,114.1837584,機利士南路,Shipyard / Dockyard,Hong Kong and Whampoa Dock,David Gilles was a Scottish businessman. He was the chief manager of the Hongkong and Whampoa Dock Co.. He served as the President of the Institute of Engineers and Shipbuilders of Hong Kong.
Douglas Lane,22.2824116,114.1560927,德忌利士巷,Shipyard / Dockyard,Hong Kong and Whampoa Dock,"Douglas Lapraik was a Scottish watchmaker, shipbuilder, and merchant. He founded Hong Kong, Canton and Macao Steamboat Company and co-founded Hong Kong and Whampoa Dock Company. He was appointed as a member of the provisional founders committee of HSBC."
Douglas Street,22.283092,114.1571104,德忌利士街,Shipyard / Dockyard,Hong Kong and Whampoa Dock,"Douglas Lapraik was a Scottish watchmaker, shipbuilder, and merchant. He founded Hong Kong, Canton and Macao Steamboat Company and co-founded Hong Kong and Whampoa Dock Company. He was appointed as a member of the provisional founders committee of HSBC."
Dock Street,22.3064006,114.1870724,船澳街,Shipyard / Dockyard,Hong Kong and Whampoa Dock,"Named after the neighbouring Hong Kong and Whampoa Dock, founded in 1863. It merged with Taikoo Dockyard in 1973 to form Hong Kong United Dockyard Limited, which was later relocated to Tsing Yi."
Taikoo Shing Road,22.2861781,114.2177703,太古城道,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,"Named after the nearby Taikoo Dockyard, established in 1907. It later merged with Whampoa Dockyard to form Hong Kong United Dockyard and relocated to Tsing Yi."
Taikoo Wan Road,22.2873246,114.2184013,太古灣道,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,"Named after the nearby Taikoo Dockyard, established in 1907. It later merged with Whampoa Dockyard to form Hong Kong United Dockyard and relocated to Tsing Yi."
Westlands Road,22.2864104,114.2130239,華蘭路,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,"Westlands Road is located within the former Swire Sugar Factory boundaries and was named after the west gate of the Taikoo Dockyard, which was the main access for employees. In 1960, it was renamed Westlands Road. "
Finnie Street,22.2883808,114.2104539,芬尼街,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,"John Finnie, a Scottish engineer, was a manager of Taikoo Dockyard and Engineering Company in 1937. During World War II, Finnie was interned at Stanley. After the war, he played a crucial role in rebuilding and modernizing the dockyard. "
Shipyard Lane,22.28533,114.21444,船塢里,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,"Named after the nearby Taikoo Dockyard, established in 1907. It later merged with Whampoa Dockyard to form Hong Kong United Dockyard and relocated to Tsing Yi."
Greig Road,22.2819891,114.213705,基利路,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,Kenneth Edward Greig was the third general manager of Taikoo Dockyard.
Greig Crescent,22.2822462,114.214521,基利坊,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,Kenneth Edward Greig was the third general manager of Taikoo Dockyard.
Kornhill,22.2837776,114.2161441,康山,Shipyard / Dockyard,Taikoo Dockyard and Engineering Company,Ferdinand Korn was a German chemist who became Taikoo Sugar Refinery's first manager.
Li Yuen Street East,22.2825391,114.1559957,利源東街,Transfer House,,"Kam Li Yuen, a Chinese businessman, ran a transfer house during the Gold Rush, employing over 400 people. In 1894, he acquired a significant portion of newly reclaimed land in Central and developed it with residential and commercial buildings."
Li Yuen Street West,22.2833315,114.1566114,利源西街,Transfer House,,"Kam Li Yuen, a Chinese businessman, ran a transfer house during the Gold Rush, employing over 400 people. In 1894, he acquired a significant portion of newly reclaimed land in Central and developed it with residential and commercial buildings."
Ko Shing Street,22.2876258,114.1453434,高陞街,Transfer House,Wo Hing Hong,"Li Sing, a wealthy Hong Kong merchant, co-founded Wo Hing Hong, a company specializing in import and export trade with the United States. His estates were valued at three times the annual revenue of the colonial government upon his death. He also founded Tung Wah Hospital and Po Leung Kuk."
Li Sing Street,22.2872881,114.145243,李陞街,Transfer House,Wo Hing Hong,"Li Sing, a wealthy Hong Kong merchant, co-founded Wo Hing Hong, a company specializing in import and export trade with the United States. His estates were valued at three times the annual revenue of the colonial government upon his death. He also founded Tung Wah Hospital and Po Leung Kuk."
Catchick Street,22.282926,114.1260532,吉席街,Wharf / Godown,Kowloon Wharf and Godown,"Sir Catchick Paul Chater was a prominent British-Indian businessman of Armenian descent in colonial Hong Kong. Chater established Kowloon Wharf and Godown, and helped establish Dairy Farm and Hongkong Land. His philanthropy included substantial donations to the University of Hong Kong."
Chater Road,22.2819556,114.1580813,遮打道,Wharf / Godown,Kowloon Wharf and Godown,"Sir Catchick Paul Chater was a prominent British-Indian businessman of Armenian descent in colonial Hong Kong. Chater established Kowloon Wharf and Godown, and helped establish Dairy Farm and Hongkong Land. His philanthropy included substantial donations to the University of Hong Kong."
Wharf Road,22.2924083,114.1982203,和富道,Wharf / Godown,North Point Wharves,"Formerly known as North Point Wharves, the site was established in 1949 and later sold to Hutchison Whampoa in the late 1970s. The wharves were demolished in the 1980s and transformed into a residential building."
Shek Chan Lane,22.2872186,114.1412216,石棧里,Wharf / Godown,,"Formerly known as ""Stone Godown Lane"" and was renamed in 1967. "